filename,urban,pred_wo_abstention,pred_with_abstention
image13747.npz,False,-1,0
image14972.npz,True,-1,-1
image16964.npz,True,-1,-1
image6808.npz,True,-1,0
image4311.npz,True,-1,-1
image19407.npz,True,-1,-1
image12845.npz,False,-1,-1
image5930.npz,False,-1,-1
image3120.npz,False,-1,-1
image19319.npz,False,-1,-1
image9768.npz,False,-1,-1
image3443.npz,False,-1,0
image15078.npz,False,1,0
image12911.npz,True,-1,-1
image18536.npz,False,-1,0
image19333.npz,False,-1,-1
image17521.npz,False,-1,-1
image9234.npz,False,-1,-1
image11843.npz,False,-1,-1
image5194.npz,True,-1,-1
image2784.npz,False,-1,-1
image2279.npz,False,-1,-1
image18194.npz,False,-1,-1
image1933.npz,False,-1,-1
image532.npz,False,1,0
image15970.npz,True,-1,-1
image15681.npz,False,-1,-1
image1569.npz,False,-1,-1
image12597.npz,False,-1,-1
image6122.npz,False,-1,0
image11819.npz,False,-1,-1
image17878.npz,False,1,0
image1763.npz,False,-1,-1
image2116.npz,False,-1,0
image16447.npz,True,-1,-1
image12068.npz,False,1,0
image17450.npz,False,-1,-1
image7615.npz,False,-1,0
image15968.npz,True,-1,-1
image5123.npz,False,-1,0
image4994.npz,False,-1,0
image10248.npz,True,-1,-1
image14590.npz,False,-1,-1
image3030.npz,True,-1,0
image19139.npz,True,-1,0
image17821.npz,False,-1,0
image18447.npz,False,-1,0
image7738.npz,False,-1,0
image730.npz,False,-1,0
image17555.npz,False,-1,-1
image13644.npz,False,-1,0
image1246.npz,False,-1,-1
image8610.npz,False,-1,-1
image8458.npz,False,-1,0
image17712.npz,False,-1,0
image5087.npz,False,-1,-1
image17676.npz,False,1,1
image12684.npz,False,1,0
image5022.npz,True,1,0
image13257.npz,False,-1,0
image4355.npz,False,-1,-1
image17201.npz,False,-1,-1
image16521.npz,False,-1,-1
image5017.npz,True,-1,0
image3417.npz,False,-1,-1
image9365.npz,False,1,0
image13867.npz,False,1,0
image14886.npz,False,1,0
image10104.npz,False,-1,0
image14731.npz,False,-1,-1
image2011.npz,False,-1,0
image10318.npz,False,1,0
image14868.npz,False,-1,0
image10684.npz,False,-1,-1
image1815.npz,False,-1,-1
image7227.npz,False,1,0
image18476.npz,False,-1,-1
image7740.npz,False,-1,0
image6745.npz,True,-1,-1
image12926.npz,False,-1,0
image13763.npz,True,1,0
image14453.npz,False,-1,0
image1994.npz,False,-1,-1
image2910.npz,False,-1,0
image10605.npz,False,-1,-1
image6929.npz,False,-1,0
image19365.npz,False,-1,-1
image15319.npz,False,1,0
image4758.npz,True,1,0
image841.npz,True,1,1
image6796.npz,False,-1,-1
image11304.npz,False,-1,0
image13927.npz,False,-1,-1
image13528.npz,False,1,0
image5168.npz,False,-1,-1
image5111.npz,False,-1,0
image10921.npz,False,-1,-1
image9243.npz,False,-1,0
image7066.npz,False,-1,0
image1866.npz,False,-1,0
image19578.npz,False,1,0
image10794.npz,False,-1,0
image4217.npz,False,-1,0
image1982.npz,False,-1,-1
image19500.npz,False,-1,0
image15410.npz,False,-1,0
image3742.npz,True,-1,0
image7441.npz,False,1,0
image16200.npz,False,-1,-1
image15466.npz,False,-1,0
image11501.npz,False,-1,0
image14557.npz,False,-1,-1
image17085.npz,False,-1,0
image16348.npz,False,-1,-1
image8404.npz,False,-1,-1
image9738.npz,False,-1,-1
image3935.npz,False,-1,-1
image18516.npz,False,-1,0
image8854.npz,False,-1,0
image812.npz,False,1,0
image11195.npz,False,-1,0
image464.npz,False,-1,-1
image19507.npz,True,-1,0
image15730.npz,False,1,0
image12274.npz,False,-1,0
image3080.npz,False,-1,-1
image16644.npz,False,-1,-1
image7437.npz,True,-1,-1
image16777.npz,True,-1,-1
image15640.npz,True,-1,0
image6209.npz,True,1,0
image2042.npz,True,1,0
image4207.npz,True,1,0
image11719.npz,True,1,0
image6874.npz,True,1,0
image19525.npz,True,-1,-1
image354.npz,True,1,0
image7124.npz,True,1,0
image15456.npz,True,1,0
image17287.npz,True,1,0
image11546.npz,True,1,0
image15610.npz,True,-1,0
image144.npz,True,1,0
image8156.npz,True,1,0
image16693.npz,True,-1,0
image1267.npz,True,-1,0
image6357.npz,True,-1,-1
image15212.npz,True,1,0
image11864.npz,True,-1,0
image14109.npz,True,1,0
image6830.npz,True,1,0
image18630.npz,True,1,0
image17955.npz,True,1,0
image11878.npz,True,1,0
image10017.npz,True,1,0
image15974.npz,True,1,0
image10258.npz,True,1,0
image10024.npz,True,-1,-1
image1759.npz,True,1,0
image10063.npz,True,-1,0
image238.npz,True,1,0
image13960.npz,True,1,0
image2660.npz,True,1,0
image6399.npz,True,1,0
image3304.npz,True,1,0
image7520.npz,True,1,0
image15674.npz,True,-1,0
image7265.npz,True,-1,-1
image15530.npz,True,-1,-1
image9326.npz,True,-1,0
image2596.npz,True,-1,0
image2586.npz,True,-1,-1
image2409.npz,True,-1,0
image18328.npz,True,-1,-1
image14333.npz,True,-1,0
image9493.npz,True,-1,0
image16499.npz,True,-1,0
image15458.npz,True,1,0
image13203.npz,True,-1,0
image16000.npz,False,-1,-1
image7099.npz,True,-1,-1
image5582.npz,True,-1,0
image1127.npz,True,-1,0
image17246.npz,True,-1,0
image371.npz,True,-1,0
image12039.npz,True,-1,0
image4967.npz,True,1,0
image11528.npz,True,-1,-1
image17881.npz,False,-1,0
image2875.npz,False,-1,-1
image11575.npz,True,-1,0
image19291.npz,False,-1,-1
image4726.npz,False,-1,0
image1968.npz,True,-1,-1
image16900.npz,False,-1,-1
image6106.npz,False,-1,-1
image8810.npz,False,-1,-1
image4426.npz,False,-1,0
image15439.npz,False,-1,-1
image17517.npz,False,-1,-1
image13919.npz,True,-1,-1
image16824.npz,True,-1,0
image1551.npz,False,-1,-1
image14832.npz,False,-1,0
image11279.npz,True,-1,0
image5559.npz,False,-1,0
image14091.npz,False,-1,0
image12034.npz,False,-1,-1
image10029.npz,False,-1,0
image3639.npz,True,-1,0
image16099.npz,False,-1,-1
image18781.npz,False,-1,-1
image19076.npz,True,-1,-1
image17481.npz,False,-1,0
image745.npz,False,-1,-1
image13918.npz,False,-1,-1
image6667.npz,False,-1,-1
image347.npz,False,-1,-1
image9672.npz,False,-1,-1
image19106.npz,False,-1,-1
image3861.npz,False,-1,-1
image19337.npz,False,-1,-1
image12780.npz,False,-1,-1
image14025.npz,False,-1,0
image4662.npz,True,-1,-1
image8140.npz,False,-1,-1
image14399.npz,False,-1,-1
image9698.npz,False,-1,-1
image2387.npz,False,-1,0
image12335.npz,True,-1,0
image3925.npz,False,-1,-1
image6931.npz,False,-1,0
image10867.npz,False,-1,0
image10899.npz,False,-1,0
image18423.npz,True,-1,0
image12422.npz,True,-1,-1
image9987.npz,False,-1,0
image15770.npz,False,-1,0
image2132.npz,False,-1,0
image18604.npz,False,-1,0
image12538.npz,False,-1,-1
image15143.npz,True,-1,-1
image9959.npz,True,-1,-1
image16617.npz,False,-1,-1
image16279.npz,False,-1,-1
image17191.npz,False,1,0
image12123.npz,False,-1,-1
image3647.npz,False,-1,0
image15802.npz,False,-1,-1
image14071.npz,False,-1,-1
image11602.npz,False,-1,-1
image12933.npz,False,-1,-1
image17763.npz,False,-1,-1
image3457.npz,False,-1,0
image6429.npz,False,-1,-1
image16385.npz,False,1,0
image6300.npz,False,-1,-1
image1304.npz,True,-1,-1
image8253.npz,False,-1,0
image18237.npz,False,-1,-1
image9601.npz,False,-1,-1
image7939.npz,False,-1,-1
image17602.npz,False,-1,0
image12419.npz,False,-1,-1
image6900.npz,False,-1,0
image6204.npz,False,-1,-1
image13308.npz,False,-1,-1
image13775.npz,True,-1,-1
image16064.npz,True,-1,-1
image6304.npz,False,-1,-1
image5404.npz,False,-1,-1
image8052.npz,False,-1,-1
image18931.npz,True,-1,0
image4045.npz,False,1,0
image4990.npz,False,-1,-1
image1637.npz,False,-1,-1
image9434.npz,False,-1,-1
image4744.npz,False,-1,-1
image18522.npz,False,-1,-1
image8039.npz,True,-1,-1
image18200.npz,False,-1,-1
image1955.npz,False,-1,0
image14393.npz,True,-1,-1
image14866.npz,False,-1,-1
image7648.npz,False,-1,-1
image6813.npz,False,-1,-1
image18036.npz,False,-1,-1
image14230.npz,False,-1,-1
image18140.npz,False,-1,-1
image1528.npz,False,-1,0
image15017.npz,True,-1,-1
image12644.npz,True,-1,-1
image10541.npz,False,-1,0
image6278.npz,False,-1,0
image17854.npz,False,-1,-1
image6413.npz,False,-1,0
image6111.npz,False,-1,-1
image16217.npz,False,-1,0
image1202.npz,False,-1,0
image5444.npz,False,-1,-1
image8344.npz,False,-1,0
image13514.npz,True,-1,-1
image9688.npz,False,-1,-1
image18948.npz,True,-1,-1
image8066.npz,False,-1,0
image16955.npz,False,-1,-1
image3850.npz,False,-1,0
image9858.npz,False,-1,-1
image18425.npz,True,-1,0
image2368.npz,False,-1,-1
image6148.npz,False,-1,-1
image11660.npz,False,-1,0
image5440.npz,True,-1,-1
image6159.npz,False,-1,0
image2280.npz,False,-1,-1
image15393.npz,False,-1,0
image11883.npz,True,-1,-1
image2125.npz,False,-1,-1
image16125.npz,False,-1,-1
image6427.npz,False,-1,-1
image1555.npz,False,-1,-1
image6633.npz,False,-1,-1
image6117.npz,False,-1,-1
image18958.npz,True,-1,-1
image13753.npz,False,-1,0
image16889.npz,True,-1,0
image1695.npz,False,-1,-1
image14782.npz,False,-1,-1
image19655.npz,False,-1,-1
image10507.npz,False,-1,-1
image1108.npz,True,-1,-1
image111.npz,False,-1,-1
image10232.npz,True,-1,-1
image5774.npz,False,-1,-1
image13595.npz,False,-1,-1
image563.npz,True,-1,0
image9537.npz,False,-1,-1
image18196.npz,True,-1,-1
image10433.npz,False,-1,-1
image1457.npz,False,-1,0
image4507.npz,False,-1,-1
image14727.npz,False,-1,-1
image7618.npz,False,-1,0
image12504.npz,True,-1,0
image19624.npz,False,-1,-1
image13295.npz,False,-1,-1
image15435.npz,True,-1,0
image3517.npz,False,-1,-1
image851.npz,False,1,0
image6721.npz,True,-1,-1
image11834.npz,False,-1,-1
image8239.npz,False,-1,0
image2012.npz,False,1,0
image8291.npz,False,-1,-1
image18411.npz,False,-1,-1
image13015.npz,False,-1,-1
image11830.npz,False,-1,-1
image19569.npz,True,-1,0
image5118.npz,False,-1,0
image18215.npz,True,-1,-1
image12196.npz,False,1,0
image15153.npz,False,-1,0
image19482.npz,False,-1,-1
image4703.npz,False,1,1
image13584.npz,False,-1,0
image1958.npz,False,-1,0
image9576.npz,False,-1,0
image3665.npz,False,-1,-1
image9531.npz,True,-1,0
image18353.npz,False,-1,-1
image13450.npz,False,-1,0
image11395.npz,False,-1,-1
image8630.npz,False,-1,0
image11912.npz,False,-1,-1
image10576.npz,False,1,0
image18713.npz,False,-1,-1
image12486.npz,False,-1,-1
image10733.npz,False,-1,0
image792.npz,False,-1,0
image15719.npz,True,-1,-1
image10524.npz,False,-1,-1
image11040.npz,False,-1,0
image5994.npz,False,-1,0
image270.npz,False,-1,0
image16487.npz,True,-1,0
image6225.npz,False,-1,-1
image11842.npz,False,-1,0
image13963.npz,False,-1,-1
image4250.npz,False,-1,0
image19273.npz,False,-1,0
image3487.npz,True,-1,-1
image1539.npz,False,1,0
image4848.npz,True,1,0
image13772.npz,False,1,0
image18786.npz,False,1,0
image12366.npz,False,-1,0
image12166.npz,False,1,0
image8195.npz,False,-1,0
image8446.npz,False,1,0
image11700.npz,False,-1,-1
image7073.npz,False,-1,-1
image2128.npz,True,-1,-1
image13936.npz,True,-1,-1
image535.npz,True,-1,-1
image14196.npz,True,-1,-1
image6944.npz,False,1,0
image380.npz,False,-1,-1
image10929.npz,True,-1,-1
image8615.npz,False,1,0
image4124.npz,False,-1,0
image12000.npz,False,-1,-1
image622.npz,False,-1,-1
image4432.npz,True,-1,-1
image19641.npz,True,-1,-1
image2480.npz,False,-1,-1
image18375.npz,False,-1,0
image4300.npz,False,-1,-1
image17984.npz,False,-1,-1
image9135.npz,False,-1,-1
image5367.npz,True,-1,-1
image11757.npz,False,-1,-1
image6879.npz,False,-1,-1
image5413.npz,False,-1,-1
image10776.npz,True,-1,-1
image17889.npz,False,-1,-1
image6676.npz,False,-1,-1
image4939.npz,False,-1,0
image5821.npz,False,1,0
image14741.npz,False,-1,0
image10665.npz,True,-1,-1
image1350.npz,False,-1,-1
image11206.npz,False,-1,-1
image13411.npz,False,-1,0
image13968.npz,False,1,0
image1109.npz,True,-1,-1
image7871.npz,False,1,0
image6467.npz,True,-1,0
image7114.npz,False,-1,-1
image13744.npz,False,-1,0
image4963.npz,False,-1,0
image18403.npz,False,-1,-1
image154.npz,False,-1,-1
image14623.npz,False,-1,-1
image3035.npz,False,-1,-1
image10520.npz,False,-1,-1
image12528.npz,False,-1,-1
image5498.npz,False,-1,-1
image14616.npz,False,-1,-1
image16184.npz,False,-1,-1
image2980.npz,False,-1,0
image7049.npz,False,-1,-1
image4253.npz,True,-1,-1
image12524.npz,False,1,0
image2420.npz,False,-1,0
image2721.npz,False,-1,0
image6532.npz,False,-1,-1
image8713.npz,True,-1,-1
image9945.npz,False,-1,-1
image6986.npz,False,-1,0
image14173.npz,False,-1,-1
image9998.npz,False,-1,-1
image12613.npz,True,-1,-1
image3431.npz,False,-1,-1
image12509.npz,False,-1,0
image10763.npz,False,-1,-1
image4413.npz,False,-1,-1
image15052.npz,False,-1,-1
image2496.npz,False,-1,-1
image15708.npz,False,-1,-1
image18378.npz,False,-1,-1
image10651.npz,False,-1,-1
image664.npz,False,-1,0
image17953.npz,True,-1,-1
image1080.npz,False,-1,-1
image11374.npz,False,-1,-1
image12182.npz,False,-1,-1
image6346.npz,False,-1,-1
image11293.npz,False,-1,-1
image3255.npz,False,-1,-1
image2885.npz,False,-1,-1
image14221.npz,False,-1,0
image11760.npz,False,-1,0
image5923.npz,False,-1,-1
image17815.npz,False,-1,-1
image12038.npz,False,-1,0
image14681.npz,False,-1,-1
image15624.npz,False,-1,-1
image519.npz,False,-1,-1
image7296.npz,False,-1,0
image2695.npz,False,-1,-1
image13972.npz,False,-1,0
image10602.npz,False,-1,-1
image3311.npz,False,-1,-1
image421.npz,False,-1,0
image13759.npz,False,-1,-1
